"title","date","link"
"Cisco IOS XE Router STIG ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_Cisco_IOS-XE_Router_Y23M10_STIG.zip"
"Canonical Ubuntu 18.04 LTS STIG Benchmark - Ver 2, Rel 10 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_CAN_Ubuntu_18-04_V2R10_STIG_SCAP_1-2_Benchmark.zip"
"Apache Tomcat Application Server 9 STIG - Ver 2, Rel 6 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_Apache_Tomcat_Application_Server_9_V2R6_STIG.zip"
"Zebra Android 11 COBO STIG - Ver 1, Rel 3 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_Zebra_Android_11_COBO_V1R3_STIG.zip"
"Sunset - Microsoft IIS 8.5 STIG ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_MS_IIS_8-5_Y23M10_STIG.zip"
"z/OS TSS Products - Ver 6, Rel 59 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_zOS_TSS_V6R59_Products.zip"
"Apple macOS 12 (Monterey) STIG - Ver 1, Rel 8 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_Apple_macOS_12_V1R8_STIG.zip"
"Canonical Ubuntu 18.04 LTS STIG for Ansible - Ver 2, Rel 12 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_CAN_Ubuntu_18-04_LTS_V2R12_STIG_Ansible.zip"
"z/OS SRR Scripts - Ver 6, Rel 59 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_zOS_V6R59_SRR.zip"
"z/OS RACF Products - Ver 6, Rel 59 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_zOS_RACF_V6R59_Products.zip"
"Sunset - Apple macOS 11 (Big Sur) STIG - Ver 1, Rel 8 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_Apple_macOS_11_V1R8_STIG.zip"
"z/OS ACF2 Products - Ver 6, Rel 59 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_zOS_ACF2_V6R59_Products.zip"
"Web Server SRG - Ver 3, Rel 2 ","2023-10-23","https://dl.dod.cyber.mil/wp-content/uploads/stigs/zip/U_Web_Server_V3R2_SRG.zip"
